Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
30360651,03/10/2023 00:00:00,17:29:59,69,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,17:44:59,70,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,17:59:59,71,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,18:14:59,72,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,18:29:59,73,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,18:44:59,74,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,18:59:59,75,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,19:14:59,76,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,19:29:59,77,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,19:44:59,78,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,19:59:59,79,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,20:14:59,80,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,20:29:59,81,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,20:44:59,82,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,20:59:59,83,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,21:14:59,84,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,21:29:59,85,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,21:44:59,86,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,21:59:59,87,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,22:14:59,88,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,22:29:59,89,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,22:44:59,90,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,22:59:59,91,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,23:14:59,92,,,,,,,,,,,,,,,,,,,,
30360651,03/10/2023 00:00:00,23:29:59,93,,,,,,,,,,,,,,,,,,,,
